名前,ステータス,ユーザー種別,概要,機能番号,画面種別
案件作成・編集,作業中,コンシェルジュ,案件の新規登録,W-001,フォーム
案件詳細,確定,コンシェルジュ,案件の詳細情報表示,W-001,詳細
案件一覧,確定,コンシェルジュ,担当案件の一覧表示,A-001,一覧
作業報告,確定,コンシェルジュ,作業報告の入力・写真添付,W-007,フォーム
完了報告一覧,確定,コンシェルジュ,作業報告の一覧表示,W-007,一覧
ダッシュボード,確定,コンシェルジュ,担当案件の状況確認,A-001,一覧
店舗情報詳細・編集,未着手,パートナー加盟店,自店舗情報の確認・編集,M-002,詳細
お客様作成・編集,確定,パートナー加盟店,顧客の登録・編集,M-001,モーダル
お客様詳細,確定,パートナー加盟店,顧客情報の表示,M-001,詳細
お客様一覧,確定,パートナー加盟店,担当顧客の一覧表示,M-001,一覧
案件作成・編集,作業中,パートナー加盟店,案件の登録・編集,W-001,モーダル
案件詳細,確定,パートナー加盟店,案件詳細・受注可否・見積入力,"W-004, W-005",詳細
案件一覧,確定,パートナー加盟店,担当案件の一覧表示,A-001,一覧
ダッシュボード,未着手,パートナー加盟店,自店舗の案件状況確認,A-001,一覧
お客様作成,確定,オペレータ,顧客の登録・編集,M-001,モーダル
お客様詳細,確定,オペレータ,顧客情報・履歴の表示,"M-001, A-004",詳細
お客様一覧,確定,オペレータ,顧客の一覧表示・検索,M-001,一覧
案件作成・編集,確定,オペレータ,案件の登録・編集,W-001,モーダル
案件詳細,確定,オペレータ,案件の詳細情報表示,W-001,詳細
案件一覧,確定,オペレータ,案件の一覧表示・検索,A-001,一覧
ダッシュボード,確定,オペレータ,案件状況の確認,A-001,一覧
アカウント発行,作業中,管理者,新規アカウントの発行,A-006,フォーム
アカウント管理一覧,確定,管理者,システムユーザーの一覧表示,A-006,一覧
コンシェルジュ登録・編集,未着手,パートナー加盟店,コンシェルジュの登録・編集,M-003,モーダル
コンシェルジュ詳細,未着手,パートナー加盟店,コンシェルジュの詳細表示,M-003,詳細
コンシェルジュ一覧,未着手,パートナー加盟店,コンシェルジュの一覧表示,M-003,一覧
パートナー加盟店登録・編集,未着手,管理者,パートナー企業の登録・編集,M-002,モーダル
パートナー加盟店詳細,作業中,管理者,パートナー企業の詳細表示,M-002,詳細
パートナー加盟店一覧,作業中,管理者,パートナー企業の一覧表示,M-002,一覧
サービス登録・編集,確定,管理者,サービスカテゴリの登録・編集,M-004,モーダル
サービス詳細,作業中,管理者,サービスカテゴリの詳細表示,M-004,詳細
サービス一覧,確定,管理者,サービスカテゴリの一覧表示,M-004,一覧
ダッシュボード,未着手,管理者,全体状況の確認,A-001,一覧
エラー画面,確定,共通,404/500等のエラー表示,-,その他
パスワード再設定,確定,共通,パスワードリセット,S-001,フォーム
ログイン,確定,共通,ユーザー認証,S-001,フォーム
サポート種別登録・編集,確定,管理者,サポート種別の登録・編集,M-004,モーダル
"サポート種別一覧 ",確定,管理者,サポート種別の一覧表示,M-004,一覧
お客様編集,未着手,オペレータ,顧客の登録・編集,M-001,モーダル
お客様情報,未着手,コンシェルジュ,,,
"サービス種別登録・編集 ",確定,管理者,サポート種別の登録・編集,M-004,モーダル
サービス種別一覧,確定,管理者,サポート種別の一覧表示,M-004,一覧
